iter	Passed	Remaining
423	1371	1863
424	1372	1857
425	1373	1850
426	1375	1845
427	1377	1840
428	1378	1834
429	1379	1829
430	1381	1824
431	1384	1819
432	1385	1814
433	1387	1808
434	1391	1807
435	1394	1803
436	1396	1799
437	1398	1794
438	1401	1790
439	1403	1785
440	1405	1781
441	1407	1776
442	1408	1770
443	1409	1765
444	1410	1759
445	1412	1754
446	1413	1748
447	1414	1743
448	1415	1737
449	1417	1731
450	1418	1726
451	1419	1721
452	1421	1716
453	1423	1711
454	1424	1705
455	1425	1700
456	1426	1695
457	1428	1689
458	1429	1684
459	1430	1679
460	1431	1673
461	1432	1668
462	1433	1662
463	1436	1659
464	1438	1654
465	1439	1649
466	1440	1644
467	1441	1638
468	1442	1633
469	1443	1628
470	1444	1622
471	1446	1617
472	1447	1612
473	1448	1607
474	1451	1604
475	1452	1599
476	1454	1594
477	1455	1589
478	1456	1584
479	1457	1579
480	1458	1574
481	1460	1569
482	1461	1564
483	1462	1558
484	1463	1553
485	1466	1551
486	1468	1546
487	1469	1541
488	1470	1536
489	1471	1531
490	1473	1527
491	1474	1522
492	1475	1517
493	1476	1512
494	1477	1507
495	1479	1503
496	1481	1498
497	1482	1494
498	1484	1490
499	1486	1486
500	1488	1482
501	1489	1477
502	1490	1473
503	1491	1468
504	1493	1463
505	1495	1460
506	1496	1455
507	1498	1450
508	1499	1446
509	1500	1441
510	1501	1436
511	1502	1432
512	1503	1427
513	1504	1422
514	1506	1418
515	1507	1413
516	1508	1409
517	1510	1405
518	1512	1401
519	1513	1396
520	1514	1392
521	1515	1387
522	1516	1383
523	1517	1378
524	1518	1373
525	1519	1369
526	1520	1364
527	1521	1360
528	1522	1355
529	1525	1353
530	1527	1349
531	1528	1344
532	1529	1340
533	1530	1335
534	1531	1331
535	1532	1326
536	1533	1322
537	1535	1318
538	1536	1313
539	1537	1309
540	1538	1305
541	1541	1302
542	1542	1298
543	1543	1294
544	1544	1289
545	1545	1285
546	1547	1281
547	1548	1276
548	1549	1272
549	1550	1268
550	1551	1264
551	1552	1260
552	1555	1257
553	1557	1253
554	1558	1249
555	1559	1245
556	1560	1241
557	1561	1237
558	1562	1232
559	1563	1228
560	1564	1224
561	1566	1220
562	1567	1216
563	1568	1212
564	1570	1209
565	1572	1205
566	1573	1201
567	1575	1198
568	1577	1194
569	1578	1191
570	1579	1187
571	1581	1183
572	1582	1179
573	1584	1176
574	1586	1172
575	1587	1168
576	1588	1164
577	1589	1160
578	1590	1156
579	1591	1152
580	1593	1148
581	1594	1144
582	1595	1141
583	1596	1137
584	1597	1133
585	1599	1130
586	1601	1126
587	1602	1122
588	1603	1118
589	1604	1115
590	1605	1111
591	1606	1107
592	1607	1103
593	1608	1099
594	1610	1096
595	1611	1092
596	1612	1088
597	1614	1085
598	1616	1082
599	1617	1078
600	1619	1074
601	1620	1071
602	1621	1067
603	1622	1063
604	1623	1060
605	1624	1056
606	1625	1052
607	1626	1048
608	1628	1045
609	1631	1043
610	1632	1039
611	1633	1035
612	1634	1032
613	1636	1028
614	1637	1024
615	1639	1021
616	1641	1018
617	1642	1015
618	1646	1013
619	1648	1010
620	1649	1006
621	1650	1003
622	1651	999
623	1652	996
624	1654	992
625	1655	988
626	1656	985
627	1657	981
628	1661	979
629	1662	976
630	1663	973
631	1665	969
632	1666	966
633	1667	962
634	1669	959
635	1670	955
